Statement,Label
"WHO praises India's Aarogya Setu app, says it helped in identifying COVID-19 clusters",1
"In Delhi, Deputy US Secretary of State Stephen Biegun pitches for Pax Indo-Pacifica",1
LAC tensions: China's strategy behind deliberately failing talks with India,1
India has signed 250 documents on Space cooperation with 59 countries: ISRO chief,1
Tamil Nadu chief minister's mother passes away at 93,1
Bihar Assembly Election 2020: This is why Tej Pratap shifted from Mahua to Hasanpur ,1
"Hathras case: CBI reaches victim's village, visits crime scene",1
"Rajasthan Crime News: After Karauli, another elderly beaten to death in Sikar, five youths in custody",1
"Mumbai: BMC to book, penalise people stepping out without face masks",1
"COVID-19: India's single-day spike drops to 55,342 as tally approaches 72 lakh",1
"Amid stubble burning, Delhi's air quality deteriorates to 'very poor'",1
Bihar Assembly elections: BJP expels nine rebels for contesting elections against NDA candidates,1
PM Modi releases Balasaheb Vikhe Patil's autobiography,1
"Post Office Recruitment 2020: Big vacancy of over 1371 posts for 10th pass; check eligibility, pay scale",1
Mumbai power outage: Fire reported in hospital,1
"Tamil Nadu COVID recoveries touch six-lakh mark, active cases at 44,095 ",1
Indian exports to Armenia increased three-fold in past three years,1
"7 Indian hostages freed in Libya, all in good health: MEA",1
"Defence Minister Rajnath Singh inaugurates 44 strategic bridges built by BRO, 7 in Ladakh alone",1
Jammu and Kashmir: Top LeT terrorist Saifullah killed in encounter with security forces,1
"Aarey metro car shed relocated to Kanjurmarg, land to be available free of cost: Uddhav Thackeray",1
"Mumbai outage: After major blackout, power supply restored in most areas; Thackeray orders probe",1
Who is Kushboo Sundar: All you need to know about the South Superstar who turned politician,1
Mumbai power outage: BMC instructs hospitals to get enough diesel for at least 8 hours,1
"Mumbai suffers major power outage, local train services affected",1
"India, China to hold 7th Corps Commander-level talks today at Chushul",1
"Minor raped at Jhansi Polytechnic College, incident filmed by 10-12 students",1
"Bihar woman gang-raped, thrown into river with 5-year-old son; child drowns",1
Seven Indians kidnapped in Libya in September released,1
"Amid tight security, Hathras victim's family leave for Lucknow to appear before bench of Allahabad High Court",1
Delhi government exempts road tax for battery operated vehicles,1
"Another Lockdown? Puja festivities in Delhi to take a blow, govt disallows fairs and processions",1
"Bihar Assembly Election 2020: BJP releases list of 30-star campaigners, PM Modi and JP Nadda top in list",1
Andhra govt complains to CJI against alleged intervention by sitting SC judge,1
"J&K: Pakistan violates ceasefire in Poonch, Indian Army replies befittingly",1
Indian Railways upgradation plan: AC coaches to replace general and sleeper coaches in high-speed trains,1
"As COVID-19 cases surge among teachers, 3-week holiday for Karnataka schools from October 12-30",1
"Amazon Great Indian Festival sale to last till Diwali, heavy discounts of upto 70 percent on offer",1
"Jharkhand: JMM leader Shankar Rawani, wife found murdered at residence in Dhanbad  ",1
BJP releases list of candidates for by-elections in 5 states,1
'No God says to celebrate a festival ostentatiously' : Harsh Vardhan warns against large congregations amidst pandemic,1
Congress woman leader beaten up by party workers for questioning decision to field 'rapist',1
SWAMITVA scheme: PM Modi launches physical distribution of property cards; 6 things to know,1
CBI registers FIR against accused in Hathras gang-rape case; takes over investigation,1
'Police must adhere to norms': Centre issues fresh advisory to States on women safety amid Hathras outrage,1
"In an attempt to check rising price of pulses, Centre to offer ÔuradÕ, ÔturÕ at subsidised rates  ",1
SVAMITVA scheme: PM Modi to launch physical distribution of property cards on Oct 11,1
Assam: Kamakhya temple to open for devotees from today,1
"Hathras gang-rape case transferred to CBI, FIR to be filed soon ",1
Assam to close-down all state-run madrassas from November: Himanta Biswa Sarma,1
"Unlock 5.0: Schools in Uttar Pradesh to reopen from October 19, read rules and regulations here",1
Bihar Assembly Election 2020: Congress releases list of 30-star campaigners ,1
Last rites of Ram Vilas Paswan performed in Patna with full state honours,1
"DU Admission 2020: Delhi University releases first cut-off list, check @du.ac.in",1
"Renewal of International driving licence to become easier, Centre mulls changes in Motor Vehicles rules 1989",1
Nitish Kumar humiliated my father: Chirag Paswan in open letter to JP Nadda,1
"Book, cancel train tickets 5 minutes before departure; new rule comes into effect October 10",1
EC issues revised guidelines for upcoming polls; limits number of star campaigners,1
Goa becomes first 'Har Ghar Jal' state by providing tap water connections in rural areas,1
Last rites of Ram Vilas Paswan to take place in Patna today with full state honours,1
"Odisha: By-polls for Balasore, Tirtol constituencies to be held on Nov 3; results on Nov 10",1
"DNA Special: How adulterated vegetables are affecting our health, well-being",1
Woman dies in freak accident in Hyderabad after hair gets stuck in go-kart wheel,1
"Rajasthan: BJP slams state govt for priest's brutal killing, Karauli-Dholpur MP Manoj Rajoria to meet kin tomorrow",1
More trouble for Arnab Goswami as Mumbai Crime Branch summons top Republic TV official,1
"Shiv Sena leader Sanjay Raut lauds Mumbai Police's 'courageous step' of busting Rs 30,000 crore TRP scam",1
"West Bengal: Man arrested with firearm in BJP rally, controversy erupts over his turban being pulled out",1
