Statement,Actual (y),Predicted (ŷ)
"YSRCP MP calls party govt in Andhra 'anti-Hindu', faces disqualification",1,1
Gory Video Of A Teenager Hacked To Death In Brazil Passed Off As India,0,0
Fact Check: Shanghai police drill video goes viral as shooting of three Uyghur Muslims,0,0
"India, China to hold military level talks on 12 October",1,1
Palghar girls to Sameet Thakkar case all Maharashtra govts tried to shut online dissent,0,1
"No, this photo does not show Indian politician Rahul Gandhi meeting a Pakistani intelligence agent in Dubai",0,0
Modi Degree Row: Right Wing Trolls Desperately Delete Old Tweets On Jitender Tomar,0,1
'Very Happy With My Current Job': Raghuram Rajan Busts Fake News Of...,0,0
UP: Mahapanchayat against 'love jihad' postponed,1,1
Fact Check: Photo of Dalit activist goes viral with misleading claim,0,0
Mehbooba Mufti's daughter moves SC seeking to amend plea against continued detention of her mother,1,1
Has Bengalurus Namma Metro Pillar 155 really got twisted? Whats the truth?,0,0
Indian Railways to start CBT for notified vacancies from 15th December,1,1
Fact Check: Old tampered video of Muharram goes viral with anti-RSS slogan,0,0
Separatist Geelani tipped for Pakistan's highest civil award within hours he spits venom against India,1,1
"Wealthy Indian didnt throw money in air in New York over Modi win, its a fake video",0,0
Mamata Banerjee becomes fake news target again as old post goes viral after BJP run-ins,0,1
BJP tweets old fake letter claiming Sonia Gandhi wanted to divide Hindus in Karnataka,0,0
Was Tricolor hoisted at Lal Chowk in Srinagar on the occasion of Indias 74th Independence Day? Know the truth,0,0
"No, these photos do not show Hindus being attacked by 'goons' working for an Indian state's chief minister",0,0
"This Is A Cartoon, Not The Fly-Past For Marshal Of The IAF Arjan Singh",0,0
Karnataka BJP strongly refutes reports about changing BS Yediyurappa as CM,1,1
"Did PM, FM Seek Out Manmohan Singh's Advice On The Economy?: Old Video ...",0,0
This couple belongs to the Hindu community and this incident is not related to Love-Jihad,0,0
Mata Amritanandamayi Devi 'Amma' wishes PM Modi on Raksha Bandhan,1,1
Congress Rajya Sabha MP Ahmed Patel tests positive for coronavirus,1,1
HoaXposed: Fake photograph of corrupt politicians being executed in China goes viral on WhatsApp,0,0
"Fact Check: Social distancing flouted in Hyderabad for Eid shopping? No, this video is from Pakistan",0,0
Did Rahul Gandhi call Sushant Singh Rajput a cricketer? Fact Check,0,0
"Fact check: No, Jio has not offered Rs 498 free recharge amid coronavirus lockdown",0,0
"10.87 crore household, 85,784 community toilets constructed in rural areas since 2014: Centre to Bombay HC",1,1
Parliament Session Day 9: Oppn boycotts Lok Sabha Rajya Sabha passes 7 key bills in three hours,1,1
"Terrorists in J-K hide in bunkers under toilet, seasonal streams to evade security forces",1,1
This 2018 video shows Bohra Muslims practicing dining etiquette in Mumbai,0,0
Jagan rushes to Delhi speculation rife YSRCP may join NDA Cabinet,1,1
From UPA Inviting A Taliban Leader In 2013 To A Viral Video From...,0,0
Fact Check: Image of Muslim youths studying Hindu holy books takes a communal turn,0,0
"No, this photo does not show the former president of the Indian National Congress Party Sonia Gandhi sitting on former Maldives President Maumoon Abdul Gayoom's lap",0,0
"Rahul Gandhi, Priyanka Gandhi have guts, courage to take on invincible duo of Modi, Shah: Digvijay Singh",1,1
Old Video Recycled As Cyclone Gaja And Other News You Almost Believed,0,0
'Want justice and only justice': Son of killed BDC chairman in Budgam,1,1
PM Modi holds 'Svanidhi Samvaad' with street vendors from Madhya Pradesh,1,1
Did Sadhgurus event spread coronavirus in Tamil Nadu?,0,0
Congress IT Cell Chief Revives Misleading Old Video On Modi's,0,1
Increase infrastructure spending to revive economy: Chidambaram,1,1
Photoshopped Picture Of Fake News Article On Times Now Resurfaces,0,0
"Even in 2019, greater vote share for NOTA in Reserved Constituencies",1,1
Posts about HIV-infected needle attacks in India are part of a long-running medical hoax,0,0
8 Oppn MPs suspended for 'unruly behaviour' in RS,1,1
'Possibility of sabotage can't be ruled out': Maharashtra minister on power outage,1,1
Did PM appeal not to buy Chinese crackers this Diwali? Fact check,0,0
There is a free media in India: MEA on Chinese embassy's Taiwan guidelines to journalists,1,1
"Citing ICMR, Coronavirus lockdown easing plan of Ireland goes viral as Indias Fact Check",0,0
"Sushant Singh case: ED seizes mobile phones, electronic gadgets of Rhea, kin, finds response 'unsatisfactory'",1,1
"Kerala: Denied timely treatment, Covid-recovered pregnant woman loses twin babies govt orders probe",1,1
Inter-state bus service may resume soon: Lockdown eats up 82 of expected revenue of HP Road Transport Corp,1,1
Work at Rajasthan HC suspended after staff test positive,1,1
Source of Income in Election affidavit  What did some of the prominent candidates in Karnataka mention?,1,0
Decline in NOTA share continues in Jharkhand Assembly Elections of 2019,1,1
"China in Russia military exercise, India opts out citing pandemic",1,1
Fact Check: PM Modis Madame Tussauds prep video linked to Tuesday speech,0,0
Statue of Periyar found smeared with saffron dye,1,1
"Odisha seeks Rs 1,100 crore central aid for flood damage",1,1
Delhi Jal Board extends bill waiver scheme by 3 months till Sept 30,1,1
New low-cost test can diagnose COVID-19 in just 20 minutes,1,1
Haryana Sports Minister Dons Pink Skirt To Cheer Indian Contingent In Olympics,0,1
India records over 60 lakh coronavirus cases recovery toll passes 50-lakh mark,1,1
"No, Modi govt is not trying to split Jammu and Kashmir into three parts",0,1
India claps at 5 PM on Sunday to ward off coronavirus? Fact check,0,0
"No, these are not photos of a boar left in an Indian mosque by Hindus in April 2019",0,0
"COVID-19: India's single-day spike drops to 55,342 as tally approaches 72 lakh",1,1
"Army readies for long winter haul as India, China hold 5th round of Corps Commander-level talks",1,1
"NEET, JEE Main 2020: Ministers of 6 opposition-ruled states move SC seeking review of 'cryptic' order",1,1
"Third Corps Commander-level meeting between India, China to resolve border dispute at LAC in Ladakh",1,1
Fact Check: This is not the bike accident video of Tamil actor Ajith Kumar,0,0
Does Priyanka Gandhi want India to become a Muslim country?,0,0
"PM to launch financing facility under Agriculture Infrastructure Fund, release benefits under PM-KISAN tomorrow",1,1
Fact Check: Image showing sea of saffron flags has no link with Ayodhya Bhoomi Pujan,0,0
"Rajasthan: Once employers, migrants now uncertain about going back, restarting businesses",1,1
2018 Image Of Dilip Ghosh On Hospital Bed Revived With Covid-19 Spin,0,1
"Banned for violating hate speech policy, BJP MLA Raja Singh claims not on Facebook since 2019",1,1
Kashmiri Policeman's Funeral Shared As Atrocities Towards Muslims In...,0,0
"Samajwadi Party holds panchayat to raise issue of spurious liquor, demands compensation to deceased's families",1,1
"Indian military amasses more men, material at border with China",1,1
Was Rajdeep Sardesai beaten up after interviewing Riya Chakraborty?,0,0
"Situation at India-China border 'very nasty', would love to get involved: US President Donald Trump",1,1
Delhi Cabinet approves doorstep delivery of ration scheme,1,1
"At 18, Telangana records highest positivity rate among health staff",1,1
"No, This Floating Traffic Signal Is Not From Mumbai",0,0
U'khand BJP MLA faces allegation of 'sexually exploiting' a woman,1,1
An old incident of police lathi charge from Unnao is being linked to a current event where it is being claimed that the Muzaffarnagar Police is committing atrocities on Maulana,0,0
Fake News Or Real News? Media With An Agenda,0,0
"Fact Check: Blood clot the main reason for Covid-19 death, claims conspiracy theory",0,0
"Is Modi govt launching a new Rs 1,000 note?",0,0
Explainer Video Electoral Bonds their Impact,1,0
"After AIADMK, DMK blows Tamil Nadu poll bugle, announces manifesto panel",1,1
"No, this is not a photo of an Indian National Congress supporter being humiliated for an anti-PM Modi remark",0,0
